,,Level 3pm (pieces/m3),-9999: No data,,,,,,,,,,
112.5,-43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
117.5,-43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
122.5,-43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
127.5,-43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
132.5,-43,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001
137.5,-43,0.01,0.011,0.009,0.007,0.006,0.006,0.006,0.004,0.005,0.005,0.01,0.008
142.5,-43,0.013,0.015,0.011,0.009,0.006,0.007,0.006,0.005,0.005,0.006,0.012,0.01
147.5,-43,0.016,0.018,0.012,0.009,0.006,0.009,0.006,0.006,0.007,0.008,0.011,0.012
152.5,-43,0.016,0.017,0.014,0.009,0.006,0.007,0.007,0.005,0.006,0.006,0.01,0.011
157.5,-43,0.004,0.005,0.004,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003
162.5,-43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
167.5,-43,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
172.5,-43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
177.5,-43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-177.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-172.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-167.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-162.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-157.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-152.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-147.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-142.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-137.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-132.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-127.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-122.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-117.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-112.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-107.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-102.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-97.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-92.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-87.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-82.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-77.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-72.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-67.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-62.5,-41,0,0,0,0,0,0,0,0,0,0,0,0
-57.5,-41,0,0,0,0,0,0,0,0,0,0,0,0
-52.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-47.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-42.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-37.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-32.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-27.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-22.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-17.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-12.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-7.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-2.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
7.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
12.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
17.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
22.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
27.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
37.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
42.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
47.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
52.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
57.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
62.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
67.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
72.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
77.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
82.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
87.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
92.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
97.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
102.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
107.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
112.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
117.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
122.5,-41,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0.001,0.001
127.5,-41,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
132.5,-41,0.005,0.006,0.004,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.005,0.003
137.5,-41,0.013,0.015,0.011,0.008,0.006,0.006,0.005,0.004,0.004,0.005,0.011,0.009
142.5,-41,0.014,0.013,0.013,0.009,0.005,0.005,0.004,0.003,0.004,0.005,0.011,0.009
147.5,-41,0.036,0.115,0.023,0.014,0.006,0.009,0.006,0.006,0.007,0.008,0.017,0.015
152.5,-41,0.052,0.086,0.035,0.019,0.01,0.012,0.01,0.009,0.011,0.012,0.024,0.023
157.5,-41,0.037,0.057,0.025,0.014,0.008,0.01,0.01,0.008,0.009,0.009,0.014,0.016
162.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
167.5,-41,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002
172.5,-41,0.002,0.003,0.002,0.003,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.001
177.5,-41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-177.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-172.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-167.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-162.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-157.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-152.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-147.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-142.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-137.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-132.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-127.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-122.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-117.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-112.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-107.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-102.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-97.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-92.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-87.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-82.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-77.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-72.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-67.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-62.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-57.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-52.5,-39,0.017,0.025,0.021,0.008,0.008,0.004,0.005,0.008,0.014,0.02,0.015,0.014
-47.5,-39,0.024,0.044,0.036,0.012,0.012,0.007,0.007,0.011,0.017,0.031,0.02,0.018
-42.5,-39,0.06,0.093,0.073,0.028,0.026,0.016,0.018,0.023,0.034,0.064,0.045,0.037
-37.5,-39,0.052,0.074,0.062,0.026,0.024,0.016,0.017,0.021,0.031,0.048,0.04,0.036
-32.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-27.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-22.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-17.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-12.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-7.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-2.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
7.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
12.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
17.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
22.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
27.5,-39,0.023,0.05,0.035,0.023,0.014,0.007,0.007,0.01,0.008,0.022,0.015,0.018
32.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
37.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
42.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
47.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
52.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
57.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
62.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
67.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
72.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
77.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
82.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
87.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
92.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
97.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
102.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
107.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
112.5,-39,0.001,0.002,0.002,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001
117.5,-39,0.003,0.006,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.003
122.5,-39,0.004,0.008,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.004,0.003
127.5,-39,0.007,0.011,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.002,0.006,0.004
132.5,-39,0.015,0.016,0.011,0.008,0.005,0.004,0.003,0.003,0.003,0.005,0.014,0.009
137.5,-39,0.013,0.011,0.014,0.013,0.008,0.006,0.005,0.004,0.005,0.007,0.014,0.012
142.5,-39,0.008,0.007,0.009,0.009,0.004,0.004,0.003,0.003,0.003,0.005,0.008,0.008
147.5,-39,0.061,0.078,0.046,0.028,0.013,0.013,0.012,0.012,0.014,0.016,0.034,0.028
152.5,-39,0.108,0.099,0.096,0.035,0.015,0.018,0.015,0.015,0.019,0.022,0.055,0.045
157.5,-39,0.111,0.117,0.092,0.033,0.014,0.017,0.016,0.014,0.017,0.019,0.036,0.041
162.5,-39,0.03,0.023,0.014,0.007,0.003,0.003,0.004,0.003,0.004,0.003,0.005,0.007
167.5,-39,0.004,0.004,0.003,0.003,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002
172.5,-39,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
177.5,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-177.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-172.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-167.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-162.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-157.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-152.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-147.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-142.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-137.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-132.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-127.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-122.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-117.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-112.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-107.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-102.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-97.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-92.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-87.5,-37,0.029,0.028,0.027,0.02,0.014,0.011,0.011,0.01,0.017,0.015,0.019,0.022
-82.5,-37,0.033,0.026,0.034,0.029,0.026,0.019,0.02,0.018,0.029,0.027,0.029,0.03
-77.5,-37,0.02,0.017,0.02,0.024,0.041,0.026,0.028,0.027,0.028,0.025,0.021,0.02
-72.5,-37,0.006,0.006,0.007,0.016,0.019,0.078,0.022,0.016,0.024,0.017,0.007,0.007
-67.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-62.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-57.5,-37,0.018,0.017,0.018,0.056,0.047,0.013,0.032,0.029,0.034,0.017,0.027,0.02
-52.5,-37,0.061,0.065,0.131,0.025,0.023,0.011,0.014,0.026,0.102,0.084,0.113,0.054
-47.5,-37,0.122,0.195,0.506,0.041,0.038,0.018,0.02,0.036,0.081,0.149,0.133,0.077
-42.5,-37,0.246,0.296,0.685,0.072,0.056,0.031,0.036,0.052,0.096,0.243,0.147,0.121
-37.5,-37,0.152,0.221,0.371,0.059,0.043,0.025,0.028,0.041,0.064,0.151,0.099,0.094
-32.5,-37,0.055,0.086,0.093,0.025,0.017,0.012,0.013,0.015,0.023,0.048,0.04,0.035
-27.5,-37,0.029,0.04,0.044,0.015,0.01,0.008,0.008,0.008,0.013,0.024,0.022,0.019
-22.5,-37,0.075,0.099,0.1,0.047,0.031,0.023,0.024,0.024,0.037,0.063,0.061,0.052
-17.5,-37,0.088,0.108,0.133,0.071,0.044,0.032,0.036,0.031,0.047,0.075,0.077,0.066
-12.5,-37,0.07,0.086,0.097,0.063,0.036,0.026,0.029,0.026,0.037,0.057,0.062,0.059
-7.5,-37,0.037,0.044,0.053,0.036,0.02,0.015,0.017,0.014,0.02,0.032,0.036,0.033
-2.5,-37,0.022,0.025,0.03,0.024,0.012,0.009,0.01,0.009,0.013,0.021,0.023,0.021
2.5,-37,0.042,0.05,0.058,0.051,0.025,0.018,0.021,0.019,0.024,0.042,0.044,0.045
7.5,-37,0.031,0.035,0.038,0.039,0.021,0.013,0.017,0.015,0.018,0.031,0.03,0.033
12.5,-37,0.025,0.027,0.028,0.028,0.02,0.012,0.015,0.014,0.016,0.023,0.021,0.024
17.5,-37,0.031,0.03,0.031,0.039,0.026,0.012,0.015,0.015,0.017,0.029,0.026,0.029
22.5,-37,0.046,0.047,0.04,0.052,0.019,0.009,0.011,0.013,0.015,0.042,0.033,0.042
27.5,-37,0.252,0.13,0.154,0.319,0.063,0.026,0.032,0.044,0.047,0.56,0.117,0.199
32.5,-37,0.442,0.184,0.272,0.248,0.061,0.029,0.032,0.047,0.049,0.181,0.143,0.239
37.5,-37,0.256,0.182,0.31,0.112,0.048,0.022,0.022,0.034,0.035,0.097,0.072,0.105
42.5,-37,0.099,0.05,0.078,0.039,0.016,0.008,0.008,0.012,0.01,0.025,0.021,0.028
47.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
52.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
57.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
62.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
67.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
72.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
77.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
82.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
87.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
92.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
97.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
102.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
107.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
112.5,-37,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
117.5,-37,0.006,0.005,0.007,0.006,0.003,0.002,0.001,0.001,0.001,0.003,0.009,0.006
122.5,-37,0.013,0.007,0.019,0.005,0.002,0.002,0.001,0.001,0.001,0.003,0.141,0.009
127.5,-37,0.012,0.009,0.02,0.008,0.003,0.002,0.002,0.002,0.002,0.004,0.029,0.012
132.5,-37,0.012,0.011,0.018,0.029,0.009,0.006,0.005,0.004,0.005,0.01,0.019,0.016
137.5,-37,0.011,0.01,0.014,0.029,0.016,0.01,0.007,0.007,0.008,0.013,0.014,0.013
142.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
147.5,-37,0.039,0.055,0.052,0.098,0.01,0.016,0.009,0.015,0.018,0.024,0.03,0.056
152.5,-37,0.046,0.034,0.113,0.039,0.014,0.015,0.012,0.014,0.019,0.031,0.164,0.284
157.5,-37,0.046,0.035,0.056,0.033,0.014,0.016,0.013,0.013,0.017,0.021,0.078,0.075
162.5,-37,0.024,0.012,0.016,0.011,0.005,0.006,0.005,0.005,0.006,0.006,0.012,0.025
167.5,-37,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002
172.5,-37,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001
177.5,-37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-177.5,-35,0.007,0.003,0.004,0.005,0.004,0.003,0.003,0.003,0.004,0.003,0.005,0.019
-172.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-167.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-162.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-157.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-152.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-147.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-142.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-137.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-132.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-127.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-122.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-117.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-112.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-107.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-102.5,-35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-97.5,-35,0.007,0.011,0.005,0.004,0.001,0.001,0.001,0.001,0.002,0.002,0.004,0.007
-92.5,-35,0.005,0.005,0.004,0.004,0.001,0.001,0.001,0.001,0.002,0.002,0.004,0.005
-87.5,-35,0.031,0.022,0.032,0.027,0.015,0.011,0.013,0.011,0.021,0.02,0.026,0.028
-82.5,-35,0.039,0.03,0.042,0.041,0.041,0.028,0.032,0.031,0.041,0.04,0.041,0.039
-77.5,-35,0.025,0.022,0.025,0.029,0.056,0.04,0.04,0.041,0.032,0.03,0.025,0.025
-72.5,-35,0.015,0.016,0.016,0.019,0.049,0.079,0.06,0.038,0.021,0.016,0.013,0.014
